iter	Logloss
0	0.6903840235
1	0.6879302534
2	0.6854614693
3	0.6833295765
4	0.6806458221
5	0.6791414448
6	0.6773934774
7	0.67576099
8	0.6743689369
9	0.6729545531
10	0.6718740818
11	0.6706547417
12	0.669464328
13	0.6685327966
14	0.6678487726
15	0.6669467888
16	0.6664115346
17	0.6655082784
18	0.6646232641
19	0.664132921
20	0.6635589723
21	0.6629495861
22	0.6623608093
23	0.6616868263
24	0.6612847918
25	0.6608017641
26	0.6604683676
27	0.6601074023
28	0.6596727292
29	0.659174237
30	0.6584929395
31	0.6580417884
32	0.6577741713
33	0.6572159091
34	0.6569981247
35	0.6567111432
36	0.6564482858
37	0.6562576564
38	0.655945363
39	0.6557512494
40	0.6554651185
41	0.655192024
42	0.6549917012
43	0.6547297113
44	0.6541944163
45	0.6540869172
46	0.6534284185
47	0.6531707987
48	0.6530501401
49	0.6520959262
50	0.6518683635
51	0.6516357961
52	0.6514692097
53	0.65129615
54	0.6508828711
55	0.6505714419
56	0.6503660276
57	0.6502307263
58	0.6500821233
59	0.6499499601
60	0.6498482489
61	0.6496481266
62	0.6495470484
63	0.6493970534
64	0.6492696292
65	0.6490317614
66	0.648919033
67	0.6487588717
68	0.6486147816
69	0.6481977548
70	0.6480199715
71	0.6479316198
72	0.6477451595
73	0.6476507976
74	0.6475323213
75	0.6473403351
76	0.647238428
77	0.6471539715
78	0.6470076691
79	0.6468875412
80	0.6468382864
81	0.6464979785
82	0.646404147
83	0.6462508764
84	0.646145506
85	0.6460676089
86	0.6460082136
87	0.6459793692
88	0.6458607561
89	0.6457610964
90	0.6456714711
91	0.6455885836
92	0.6454747684
93	0.6454126255
94	0.645294674
95	0.6451846031
96	0.6450212951
97	0.6448636966
98	0.6447486826
99	0.6446539027
100	0.6445556794
101	0.644416079
102	0.644321768
103	0.644181254
104	0.6440860405
105	0.6439997893
106	0.6439180426
107	0.6438359552
108	0.6438050516
109	0.643719601
110	0.6436512005
111	0.6435589148
112	0.6434418145
113	0.6433573555
114	0.6433130879
115	0.6432609511
116	0.6431454288
117	0.6430916522
118	0.6430506601
119	0.6429880143
120	0.6428603905
121	0.642817287
122	0.6426939036
123	0.6426078532
124	0.6425704421
125	0.6424924946
126	0.6424265624
127	0.6422330629
128	0.642152443
129	0.6420720495
130	0.6419610509
131	0.6419199439
132	0.6418566701
133	0.6415471606
134	0.6414844
135	0.6414256709
136	0.6413928093
137	0.6413291017
138	0.6412528304
139	0.6411783921
140	0.6410768545
141	0.6409895373
142	0.6408919541
143	0.6407765306
144	0.6407327951
145	0.6405144918
146	0.6404119151
147	0.640340033
148	0.6402981331
149	0.6396328008
150	0.6395291009
151	0.6394663082
152	0.6394028471
153	0.6393511774
154	0.6392720438
155	0.6392331981
156	0.6391053409
157	0.6389956781
158	0.6389619859
159	0.6389146363
160	0.6387805309
161	0.6387343159
162	0.6386287142
163	0.6385450922
164	0.6384911905
165	0.6384087278
166	0.6383200814
167	0.6382962276
168	0.6382439739
169	0.6381558697
170	0.6380863755
171	0.6379943772
172	0.6379439024
173	0.6378457916
174	0.6377831689
175	0.6377024068
176	0.6376816415
177	0.6375962811
178	0.6375398759
179	0.6374330209
180	0.6373113359
181	0.6372365372
182	0.6371560101
183	0.6371083669
184	0.6370635586
185	0.6370048343
186	0.6369676832
187	0.6368442493
188	0.6368285166
189	0.6367444511
190	0.6366956264
191	0.6366625082
192	0.6365921541
193	0.6364822813
194	0.6364524678
195	0.636384564
196	0.6363277789
197	0.6363095642
198	0.636188951
199	0.6361043316
200	0.6360351495
201	0.635952804
202	0.635876301
203	0.6358195011
204	0.6357535198
205	0.635660188
206	0.6355833934
207	0.6354811832
208	0.6354313214
209	0.6353675753
210	0.6352910642
211	0.6352031321
212	0.6351170109
213	0.6350726574
214	0.6350259341
215	0.6349706206
216	0.6349191052
217	0.6348386617
218	0.6346538152
219	0.6345599133
220	0.6344833123
221	0.6344030811
222	0.6343657678
223	0.634210122
224	0.634135238
225	0.6340134661
226	0.6339436969
227	0.6338653065
228	0.6337670033
229	0.6336311188
230	0.6335298109
231	0.6334053067
232	0.6333104897
233	0.6327651634
234	0.6326467691
235	0.6325198396
236	0.6324075037
237	0.6323048949
238	0.6322194587
239	0.6321582588
240	0.6320495207
241	0.6319712782
242	0.6318805089
243	0.6317641741
244	0.6315976856
245	0.6314269204
246	0.6313127795
247	0.6311607482
248	0.6310527218
249	0.6308458301
250	0.6307394667
251	0.6306332166
252	0.6305676806
253	0.6304393393
254	0.6303749579
255	0.6302427279
256	0.6301080489
257	0.6300216873
258	0.6298518342
259	0.6297464624
260	0.6296328664
261	0.6295026879
262	0.6294002308
263	0.6292583733
264	0.6291214592
265	0.629004276
266	0.6288917702
267	0.6286986744
268	0.6285810989
269	0.6284058292
270	0.6283242381
271	0.6282278559
272	0.6280873371
273	0.6279585803
274	0.6278591793
275	0.627762128
276	0.6275748816
277	0.6274096167
278	0.6272807248
279	0.6271122007
280	0.6269015544
281	0.6267587468
282	0.6266823576
283	0.6265617975
284	0.6264691825
285	0.6263423101
286	0.6261832044
287	0.6261091966
288	0.6259338935
289	0.6258450208
290	0.6257295434
291	0.625567234
292	0.6254426519
293	0.6253553935
294	0.625255901
295	0.6251672668
296	0.6250332574
297	0.6248200279
298	0.6246615824
299	0.6245276333
