iter	Passed	Remaining
0	293	87691
1	463	69089
2	632	62646
3	768	56873
4	880	51972
5	986	48343
6	1068	44722
7	1169	42678
8	1288	41650
9	1407	40803
10	1580	41524
11	1714	41149
12	1852	40897
13	1979	40442
14	2095	39815
15	2214	39304
16	2342	39002
17	2467	38662
18	2610	38610
19	2730	38227
20	2835	37666
21	2944	37204
22	3078	37076
23	3189	36676
24	3321	36539
25	3439	36249
26	3519	35584
27	3636	35325
28	3729	34854
29	3814	34327
30	3902	33867
31	3992	33438
32	4090	33095
33	4172	32646
34	4266	32306
35	4352	31919
36	4462	31717
37	4539	31297
38	4636	31028
39	4750	30875
40	4851	30646
41	4956	30444
42	5044	30148
43	5161	30032
44	5283	29941
45	5360	29597
46	5430	29232
47	5539	29083
48	5643	28906
49	5721	28605
50	5799	28316
51	5882	28054
52	5957	27763
53	6027	27460
54	6104	27194
55	6178	26919
56	6259	26686
57	6325	26392
58	6395	26125
59	6462	25849
60	6524	25562
61	6590	25298
62	6668	25085
63	6740	24856
64	6816	24643
65	6891	24435
66	6958	24198
67	7040	24019
68	7109	23800
69	7176	23579
70	7244	23366
71	7306	23137
72	7374	22932
73	7439	22719
74	7501	22504
75	7581	22344
76	7652	22163
77	7721	21975
78	7805	21836
79	7909	21751
80	7985	21590
81	8069	21452
82	8165	21348
83	8252	21221
84	8342	21100
85	8409	20926
86	8476	20753
87	8541	20578
88	8606	20403
89	8673	20237
90	8747	20091
91	8823	19949
92	8893	19794
93	8959	19634
94	9024	19474
95	9106	19351
96	9177	19207
97	9246	19060
98	9321	18925
99	9388	18777
100	9456	18632
101	9528	18496
102	9594	18350
103	9662	18209
104	9745	18098
105	9832	17995
106	9897	17853
107	9972	17728
108	10051	17613
109	10126	17490
110	10192	17354
111	10261	17224
112	10342	17115
113	10419	16999
114	10488	16873
115	10575	16774
116	10651	16659
117	10722	16538
118	10797	16423
119	10864	16297
120	10932	16172
121	11007	16060
122	11078	15942
123	11156	15835
124	11221	15710
125	11285	15584
126	11351	15463
127	11419	15344
128	11479	15217
129	11551	15106
130	11706	15102
131	11894	15138
132	11960	15017
133	12020	14891
134	12081	14766
135	12148	14649
136	12212	14530
137	12276	14412
138	12336	14289
139	12400	14172
140	12462	14053
141	12520	13931
142	12597	13830
143	12661	13716
144	12725	13603
145	12790	13490
146	12847	13371
147	12908	13257
148	12971	13145
149	13030	13030
150	13097	12924
151	13157	12811
152	13229	12710
153	13288	12598
154	13349	12488
155	13414	12382
156	13477	12275
157	13540	12169
158	13610	12069
159	13680	11970
160	13753	11873
161	13810	11764
162	13875	11662
163	13952	11570
164	14018	11469
165	14087	11371
166	14158	11276
167	14240	11188
168	14317	11098
169	14389	11003
170	14456	10906
171	14526	10810
172	14599	10717
173	14665	10620
174	14731	10522
175	14800	10427
176	14868	10332
177	14940	10240
178	15024	10155
179	15102	10068
180	15178	9979
181	15265	9897
182	15357	9818
183	15432	9729
184	15501	9636
185	15564	9539
186	15626	9442
187	15697	9351
188	15759	9255
189	15821	9159
190	15885	9065
191	15948	8971
192	16011	8876
193	16077	8784
194	16134	8688
195	16203	8597
196	16267	8505
197	16326	8410
198	16398	8322
199	16461	8230
200	16526	8140
201	16598	8052
202	16662	7961
203	16727	7871
204	16805	7787
205	16867	7696
206	16930	7606
207	17000	7519
208	17060	7428
209	17126	7339
210	17193	7252
211	17255	7162
212	17326	7076
213	17401	6993
214	17462	6903
215	17525	6815
216	17591	6728
217	17661	6643
218	17738	6560
219	17805	6474
220	17872	6388
221	17941	6303
222	18002	6215
223	18066	6129
224	18131	6043
225	18202	5960
226	18279	5878
227	18351	5795
228	18412	5708
229	18479	5624
230	18535	5536
231	18600	5451
232	18668	5368
233	18726	5281
234	18790	5197
235	18852	5112
236	18918	5028
237	18990	4947
238	19050	4862
239	19117	4779
240	19184	4696
241	19245	4612
242	19309	4529
243	19377	4447
244	19455	4367
245	19522	4285
246	19589	4203
247	19647	4119
248	19716	4038
249	19776	3955
250	19842	3873
251	19895	3789
252	19954	3706
253	20017	3625
254	20071	3541
255	20126	3459
256	20187	3377
257	20245	3295
258	20312	3215
259	20373	3134
260	20428	3052
261	20499	2973
262	20570	2893
263	20631	2813
264	20693	2733
265	20749	2652
266	20807	2571
267	20869	2491
268	20925	2411
269	20986	2331
270	21054	2253
271	21128	2174
272	21193	2096
273	21251	2016
274	21311	1937
275	21368	1858
276	21434	1779
277	21508	1702
278	21565	1623
279	21631	1545
280	21690	1466
281	21747	1388
282	21805	1309
283	21867	1231
284	21928	1154
285	21992	1076
286	22048	998
287	22106	921
288	22169	843
289	22226	766
290	22289	689
291	22353	612
292	22410	535
293	22471	458
294	22523	381
295	22581	305
296	22637	228
297	22696	152
298	22756	76
299	22809	0
